"","median_kl","k","calc"
"1",0.0957026232318704,2,"KL_div"
"2",0.225906112711842,3,"KL_div"
"3",0.349146916239251,4,"KL_div"
"4",0.507714289383509,5,"KL_div"
"5",0.64207346633185,6,"KL_div"
"6",0.709783464316591,7,"KL_div"
"7",0.816205451179612,8,"KL_div"
"8",0.885870354565538,9,"KL_div"
"9",0.856193032048207,10,"KL_div"
"10",0.906816059941117,11,"KL_div"
"11",0.976205311995877,12,"KL_div"
"12",1.01884811691334,13,"KL_div"
"13",1.06082065020993,14,"KL_div"
"14",1.04823542188357,15,"KL_div"
"15",1.13179051705056,16,"KL_div"
"16",1.17909985625149,17,"KL_div"
"17",1.22486262113181,18,"KL_div"
"18",1.27846749293051,19,"KL_div"
"19",1.27077049625733,20,"KL_div"
"20",1.31168897181873,21,"KL_div"
"21",1.33511277198278,22,"KL_div"
"22",1.36004378146808,23,"KL_div"
"23",1.38875624219323,24,"KL_div"
"24",1.4078235530643,25,"KL_div"
"25",1.42666803200824,26,"KL_div"
"26",1.46499826775475,27,"KL_div"
"27",1.48083338353369,28,"KL_div"
"28",1.47134418741106,29,"KL_div"
"29",1.48938764833724,30,"KL_div"
"30",1.51242512873045,31,"KL_div"
"31",1.55217042235298,32,"KL_div"
"32",1.57230831950527,33,"KL_div"
"33",1.5779333452953,34,"KL_div"
"34",1.593981802708,35,"KL_div"
"35",1.59470485262244,36,"KL_div"
"36",1.57083092347282,37,"KL_div"
"37",1.58111762121643,38,"KL_div"
"38",1.58893450184215,39,"KL_div"
"39",1.58710635925519,40,"KL_div"
"40",1.5890660419268,41,"KL_div"
"41",1.6255606826425,42,"KL_div"
"42",1.6642368416877,43,"KL_div"
"43",1.68180825022256,44,"KL_div"
"44",1.68622198821041,45,"KL_div"
"45",1.70865330122014,46,"KL_div"
"46",1.70840462327484,47,"KL_div"
"47",1.74088576780679,48,"KL_div"
"48",1.7426259501523,49,"KL_div"
"49",1.75364047924857,50,"KL_div"
"50",1.76497541272101,51,"KL_div"
"51",1.79285774892699,52,"KL_div"
"52",1.80840592670381,53,"KL_div"
"53",1.81278852387589,54,"KL_div"
"54",1.81707362085332,55,"KL_div"
"55",1.82759076758614,56,"KL_div"
"56",1.83641159626728,57,"KL_div"
"57",1.84836084674758,58,"KL_div"
"58",1.86377643371575,59,"KL_div"
"59",1.87881771936192,60,"KL_div"
"60",2.01149492802036,70,"KL_div"
"61",2.08239166120671,80,"KL_div"
"62",2.15262737380083,90,"KL_div"
"63",2.20386992947268,100,"KL_div"
"64",2.26188208200488,110,"KL_div"
"65",2.31771239201331,120,"KL_div"
"66",2.37963902755033,130,"KL_div"
"67",2.42593571077895,140,"KL_div"
"68",2.4646803743947,150,"KL_div"
"69",2.50114877372074,160,"KL_div"
"70",2.54464152358924,170,"KL_div"
"71",2.5778691622664,180,"KL_div"
"72",2.61900535701166,190,"KL_div"
"73",2.62003594451011,200,"KL_div"
